Unique_ID,Year,Year_range,Short_title,Description,City/County,State,Country,Entity,Entity_type,Recipient,Recipient_type,Reparations_type,Amount,Amount_type,Harm_addressed,Status,Legal_basis,Tags,Source,Source_URL,Source2,Source2_URL,Related_entries,Notes,Suggested_citation,🔐 Softr Record ID
USA-2025-06,2025,2020–2025,Tulsa Race Massacre reparations,"Tulsa, Oklahoma's first Black mayor, Monroe Nichols, unveils a $105 million private ""Road to Repair"" trust to fund reparation initiatives addressing the impact of the 1921 Tulsa Race Massacre that took place in the city's Greenwood neighborhood (""Black Wall Street""). The plan allocates $24 million for housing, $60 million for historic preservation, and $21 million for scholarships, small-business grants, and efforts to identify massacre victims in mass graves.",Tulsa,Oklahoma,United States,City of Tulsa,"Government, municipal/county",African Americans,Community,"Scholarship fund, Infrastructure, Other fund, Other",,,Racial violence,In Progress,Voluntary/private action,African Americans; economic development; education/scholarship; housing program; legislation; local government; massacre/violence; monetary compensation; private initiative,"Burch, A. D. S., & Kerr, B. (2025, June 1). $105 million reparations package for Tulsa Race Massacre unveiled by mayor. The New York Times.",https://web.archive.org/web/20250607072726/https://www.nytimes.com/2025/06/01/us/tulsa-race-massacre-reparations.html,,,USA-2001-01; USA-2024-01,,"""Tulsa Race Massacre reparations (2025)"". Reparations History, https://reparationshistory.org.",NYg3rM29osMPpUVwGcXmui
USA-2025-01,2025,2020–2025,DC explores slavery reparations,"A new law in Washington, D.C., has taken effect, allowing the city to explore reparations for Black residents who are descendants of slaves or affected by Jim Crow-era policies. The legislation establishes a 12-member commission to study the city's history of slavery and discrimination, develop reparations proposals, and set up a payment fund.",Washington,D.C.,United States,"City of Washington, D.C.","Government, municipal/county",African Americans,"Descendants, Individuals",Other,,,"Slavery, Jim Crow / segregation",In Progress,State legislation,African Americans; commission/study; institutional discrimination; legislation; monetary compensation; segregation; slavery,"Delaney, M. (2025, March 6). D.C. reparations law takes effect, opening door for payments to Black residents. The Washington Times.",https://www.washingtontimes.com/news/2025/mar/6/dc-reparations-law-takes-effect-opening-door-payments-black-residents/,,,,,"""DC explores slavery reparations (2025)"". Reparations History, https://reparationshistory.org.",AhrPcJ3ma9xgeP4FYLi9SQ
ARG-1984-01,1984,1970–1989,Argentina investigates dictatorship disappearances,"Argentine President Raúl Alfonsín created the Comisión Nacional sobre la Desaparición de Personas (National Commission on the Disappearance of Persons) to investigate the whereabouts of desaparecidos (""the disappeared"") who were abducted or killed by the military during the previous dictatorship. The Commission issued a report (Nunca Más) that led to prosecution of those involved, reparations paid to families of victims in the form of pensions, and new standards implemented to provide accountability for human rights violations.",,,Argentina,Comisión Nacional sobre la Desaparición de Personas (National Commission on the Disappearance of Persons),"Government, federal",Families of desaparecidos,Individuals,"Direct payment, Policy change",,,Other,Completed,Presidential order,commission/study; court case; federal government; human rights violation; massacre/violence; monetary compensation; pension; political violence survivors,"De Greiff, P. (2008). The handbook of reparations. Oxford University Press.",,,,,,"""Argentina investigates dictatorship disappearances (1984)"". Reparations History, https://reparationshistory.org.",QFU8afMirMLsJkhTtotmtr
USA-1781-01,1781,1700–1899,Enslaved man seeks land justice,"Anthony (Tony) and Cuba had been enslaved by John Vassall until John fled for England. When the master's estate was confiscated, Tony petitioned the Massachusetts legislature seeking title to the plot of land on which he had been enslaved for over 40 years. They were evicted from the land but the legislature awarded them an annual pension of £12 from the sale of the estate.",,Massachusetts,United States,Commonwealth of Massachusetts,"Government, state",Anthony and Cuba (Vassall),Individuals,Direct payment,,,Slavery,Completed,State legislation,African Americans; land return; land seizure; monetary compensation; pension; slavery,Though dwelling in a land of freedom. (2018). National Park Service.,https://www.nps.gov/articles/though-dwelling-in-a-land-of-freedom.htm,,,USA-1773-01; USA-1783-01,,"""Enslaved man seeks land justice (1781)"". Reparations History, https://reparationshistory.org.",ApBygbpC6u1T968kTK7oEs
USA-1783-01,1783,1700–1899,Freedwoman petitions for pension justice,"Belinda Sutton (also Royal or Royall) was born in modern-day Ghana in 1713, and sold into slavery as a child to Isaac Royall in Massachusetts. After 50 years of enslavement she was made a freedwoman when Royall fled to Nova Scotia. Sutton petitioned the Commonwealth of Massachusetts for a pension. In 1783 she was awarded a pension of 15 pounds, 12 shillings, to be paid from the estate of Isaac Royall.",,Massachusetts,United States,Commonwealth of Massachusetts,"Government, state","Belinda Sutton (Royal, Royall)",Individuals,Direct payment,,,Slavery,Completed,Court verdict,African Americans; monetary compensation; pension; slavery; state government,"Coates, T.-N. (2018). We were eight years in power: An American tragedy. Random House Publishing Group.",,,,USA-1773-01; USA-1781-01,,"""Freedwoman petitions for pension justice (1783)"". Reparations History, https://reparationshistory.org.",PSsNzzuufwdy6dNGYkUBSv
USA-2002-01,2002,1990–2009,Virginia apologizes for forced sterilizations,"Governor Mark Warner of Virginia issued a formal apology for the state's decision to forcibly sterilize more than 8,000 of its residents.",,Virginia,United States,Commonwealth of Virginia,"Government, state",Victims of forced sterilization,Individuals,Apology,,,Forced sterilization,Completed,Other,apology; court case; eugenics survivors; forced sterilization; state government,"Branigin, W. (2002, May 3). Va. Apologizes to the victims of sterilizations. Washington Post.",https://web.archive.org/web/20201103050954/https://www.washingtonpost.com/archive/local/2002/05/03/va-apologizes-to-the-victims-of-sterilizations/9cbfe2ad-950c-47f8-a186-c68e4d1e362e/,,,USA-2014-01; USA-2016-02; USA-2021-04,,"""Virginia apologizes for forced sterilizations (2002)"". Reparations History, https://reparationshistory.org.",JHNK2pvgCLpFaiHjfPeN4t
USA-2005-03,2005,1990–2009,Virginia funds segregation-era education reparations,"Virginia, five decades after ignoring Prince Edward County and other locales that shut down their public schools in support of segregation, is making a rare effort to confront its racist past, in effect apologizing and offering reparations in the form of scholarships. With a $1 million donation from the billionaire media investor John Kluge and a matching amount from the state, Virginia is providing up to $5,500 to any state resident who was denied a proper education when public schools shut down. So far, more than 80 students have been approved for the scholarships and the numbers are expected to rise. Several thousand are potentially eligible.",,Virginia,United States,Commonwealth of Virginia,"Government, federal",African Americans,Individuals,Scholarship fund,"$1,000,000.00",,"Educational discrimination, Jim Crow / segregation",Completed,State legislation,apology; education/scholarship; educational institution; legislation; local government; monetary compensation; private initiative; segregation,"Janofsky, M. (2005, July 31). A new hope for dreams suspended by segregation. The New York Times.",https://web.archive.org/web/20241207101616/https://www.nytimes.com/2005/07/31/education/a-new-hope-for-dreams-suspended-by-segregation.html,,,,,"""Virginia funds segregation-era education reparations (2005)"". Reparations History, https://reparationshistory.org.",ABJ9Y4uVAkgHaTJh9CbYQ5
USA-2007-01,2007,1990–2009,"Virginia apologizes for slavery, segregation",The state legislature of Virginia passed a measure apologizing for slavery and segregation.,,Virginia,United States,Commonwealth of Virginia,"Government, state",African Americans,Community,Apology,,,"Slavery, Jim Crow / segregation",Completed,State legislation,African Americans; apology; legislation; segregation; slavery; state government,"Darity, Jr, W. A., & Mullen, A. K. (2020). From here to equality: Reparations for Black Americans in the twenty-first century. UNC Press Books.",,,,USA-2007-02; USA-2007-03; USA-2007-04; USA-2007-05; USA-2007-06,,"""Virginia apologizes for slavery, segregation (2007)"". Reparations History, https://reparationshistory.org.",TVNaFMco1MhbJPzFcmdBxs
USA-2016-02,2016,2010–2019,Virginia compensates sterilization survivors,"The state of Virginia, one of more than 30 other states that practiced forced sterilizations, followed North Carolina's lead and has since 2016 been awarding $25,000 to each survivor.",,Virginia,United States,Commonwealth of Virginia,"Government, state",Victims of forced sterilization,Individuals,Apology,"$25,000.00",,Forced sterilization,Completed,State legislation,eugenics survivors; forced sterilization; legislation; monetary compensation; state government,"Hanson, J. (2015, March 5). Virginia votes compensation for victims of its eugenic sterilization program. Biopolitical Times.",https://www.geneticsandsociety.org/biopolitical-times/virginia-votes-compensation-victims-its-eugenic-sterilization-program,,,USA-2002-01; USA-2014-01; USA-2021-04,,"""Virginia compensates sterilization survivors (2016)"". Reparations History, https://reparationshistory.org.",5nCLVwoWSNyZKb1udmKffn
USA-2021-06,2021,2020–2025,Athens-Clarke funds Linnentown reparations,"The commissioners of the county of Athens-Clarke, Georgia, pass a proclamation to extend an apology for an act in the 1960s whereby the Linnentown community of Black families was appropriated and destroyed to build dormitories for students of the University of Georgia. Two weeks later the commissioners voted in favor of a resolution to erect a memorial on the site, create a center to study slavery, and set aside funding for reparatory projects (based on the amount of intergenerational wealth lost due to the destruction of the Linnentown community).",Athens-Clarke County,Georgia,United States,County of Athens-Clarke,"Government, municipal/county",African Americans,Community,"Apology, Infrastructure, Memorial, Other fund",,,"Economic discrimination, Land seizure",In Progress,City/county ordinance,African Americans; apology; commission/study; displaced communities; educational institution; land seizure; legislation; local government; memorial; monetary compensation; resolution; slavery,"Cohen, R. M. (2021, April 9). Inside the winning fight for reparations in Athens, Georgia. The Intercept.",https://archive.ph/xxe7e,,,,,"""Athens-Clarke funds Linnentown reparations (2021)"". Reparations History, https://reparationshistory.org.",X3KguMZTpsX5SRGigbq3rU
USA-2022-08,2022,2020–2025,Episcopal diocese funds reparations,"The Episcopal Diocese of Massachusetts voted to create a reparations fund to address ""our legacy of wealth accumulated through the enslaved labor of Africans and Afro-Caribbeans."" The pool will consist of $3 million to create investment income, as well as further annual funding with a goal of $11.1 million. The Diocese has also created a Reparations Toolkit.",,Massachusetts,United States,Episcopal Diocese of Massachusetts,Religious institution,African Americans; Afro-Caribbeans,Community,"Other fund, Other","$3,000,000.00",,Slavery,In Progress,Institutional policy,African Americans; monetary compensation; religious institution; slavery,"Sukraw, T. J. (2022, November 16). Massachusetts diocese creates reparations fund with $11.1 million goal. Episcopal News Service.",https://www.episcopalnewsservice.org/2022/11/16/massachusetts-diocese-creates-reparations-rund-with-11-1-million-goal/,,,USA-2019-02; USA-2020-05; USA-2021-12,,"""Episcopal diocese funds reparations (2022)"". Reparations History, https://reparationshistory.org.",Az3HwzqMuKY2YZLyUEJQys
USA-2019-02,2019,2010–2019,Episcopal diocese funds reparations program,A convention of the Episcopal Diocese of New York voted to allocate $1.1 million to initiate a reparations program.,,New York,United States,Episcopal Diocese of New York,Religious institution,African Americans,Community,Other,"$1,100,000.00",,Slavery,Completed,Voluntary/private action,monetary compensation; religious institution,"Episcopal Diocese of New York. (2019, November 10). Diocesan Convention votes $1.1 million towards reparations, passes 1860 anti-slavery resolutions.
",https://web.archive.org/web/20240806080513/https://www.dioceseny.org/diocesan-convention-votes-1-1-million-towards-reparations-passes-1860-anti-slavery-resolutions/,,,USA-2020-05; USA-2021-12; USA-2022-08,,"""Episcopal diocese funds reparations program (2019)"". Reparations History, https://reparationshistory.org.",FktQupbrEuRAuuVdVav4GJ
USA-2020-05,2020,2020–2025,Texas Episcopalians pledge $13 million,"The Episcopal Diocese of Texas (whose first bishop, Alexander Gregg, was a slave holder) pledged $13 million for a racial justice project.",,Texas,United States,Episcopal Diocese of Texas,Religious institution,African Americans,Community,Other,"$13,000,000.00",,Slavery,In Progress,Institutional policy,African Americans; monetary compensation; religious institution; slavery,"Downen, R. (2020, February 13). Texas Episcopalians pledge $13M to 'repair and commence racial healing'. Houston Chronicle.",https://www.houstonchronicle.com/news/houston-texas/houston/article/Texas-Episcopalians-pledge-13M-to-repair-and-15053645.php,,,USA-2019-02; USA-2021-12; USA-2022-08,,"""Texas Episcopalians pledge $13 million (2020)"". Reparations History, https://reparationshistory.org.",BKTdoFGi73fYaT9R3eUbkN
USA-2021-12,2021,2020–2025,$10 million commitment to repair,"In 2021 the Episcopal Diocese of Virginia adopted Resolution R-10a, pledging a $10 million reparations fund over five years to support Black, Indigenous, and other communities of color, recognizing the Diocese's historical complicity with slavery, Indigenous dispossession, and segregation. The resolution directs the creation of a Reparations Task Force to recommend options for repair.",,Virginia,United States,Episcopal Diocese of Virginia,Religious institution,African Americans; Native Americans; People of color,"Tribal Nation, Community, Descendants",Other fund,"$10,000,000.00",Total program cost,"Jim Crow / segregation, Economic discrimination, Land seizure, Slavery",In Progress,Voluntary/Private action,African Americans; Native Americans; commission/study; monetary compensation; religious institution; resolution; segregation; slavery,"Reparations. (2023, December 7). Episcopal Diocese of Virginia.",https://episcopalvirginia.org/ministries/justice-healing/reparations/,,,USA-2019-02; USA-2019-05; USA-2019-08; USA-2020-05; USA-2022-08,,"""$10 million commitment to repair (2021)"". Reparations History, https://reparationshistory.org.",T4pj7uSPoiwcouWwSkiR8Y
USA-2025-11,2025,2020–2025,Path to Debt Repair awarded,"Forest Hill Presbyterian Church in Cleveland Heights, Ohio, awarded its first Racial Education Debt Repair Award, providing $65,000 in student loan forgiveness to one African American woman as part of a broader effort to address historic racial financial inequities. ",Cleveland Heights,Ohio,United States,Forest Hill Presbyterian Church,Religious institution,African Americans,Individuals,"Other, Direct payment","$65,000.00",Individual payment,Economic discrimination,Completed,Voluntary/Private action,African Americans; education/scholarship; institutional discrimination; land return; monetary compensation; religious institution,"Johnson, Z. (2025, November 24). Cleveland Heights church walks a path to racial reparations through college debt forgiveness. WVXU.",https://www.wvxu.org/2025-11-24/cleveland-heights-church-walks-a-path-to-racial-reparations-through-college-debt-forgiveness,,,,,"""Path to Debt Repair awarded (2025)"". Reparations History, https://reparationshistory.org.",LkXNYcf5c9vSq3cFfooBph
USA-2025-05,2025,2020–2025,Franciscan Sisters return land to Chippewa,"In October 2025, the Franciscan Sisters of Perpetual Adoration transferred ownership of the Marywood Franciscan Spirituality Center in Arbor Vitae, Wisconsin, to the Lac du Flambeau Band of Lake Superior Chippewa for $30,000 (the amount the congregation originally paid in 1966). This is first instance of a Catholic institution returning land to First Nations as a gesture of reparation.",Arbor Vitae,Wisconsin,United States,Franciscan Sisters,Religious institution,Chippewa peoples,Tribal Nation,Land (return),,,Land seizure,Completed,Voluntary/private action,Native Americans; land return; monetary compensation; religious institution,"Stockman, D. (2025, November 3). In act of reparation, Franciscan sisters return land to Chippewa Indians in Wisconsin. National Catholic Reporter.",https://www.ncronline.org/act-reparation-franciscan-sisters-return-land-chippewa-indians-wisconsin,,,,,"""Franciscan Sisters return land to Chippewa (2025)"". Reparations History, https://reparationshistory.org.",K8BDewzRkLjzE6BNvTLdo7
USA-2020-03,2020,2020–2025,Fund established for Elaine massacre,"The ""Fund for Reparations Now"" was established to raise $150,000 for the descendants of the Elaine, Arkansas massacre in which at least 200 African Americans were killed. The fund is a collaborate effort amongst the Elaine Legacy Center, the National African American Reparations Commission, and the Samuel DeWitt Proctor Conference. As of December 2020, $50,000 has been contributed to the fund.",Elaine,Arkansas,United States,Fund for Reparations Now,Community organization,African Americans,Descendants,Other,"$150,000.00",,Racial violence,In Progress,Voluntary/private action,African Americans; commission/study; massacre/violence; monetary compensation,"National groups honor pledge to descendants of Elaine, Arkansas massacre. (2020, December 15). IBW21.",https://ibw21.org/reparations/national-groups-honor-pledge-to-descendants-of-elaine-arkansas-massacre/,,,,,"""Fund established for Elaine massacre (2020)"". Reparations History, https://reparationshistory.org.",KPe2EC5qWeyue9BRBNb82Y
USA-2016-01,2016,2010–2019,Georgetown addresses slavery legacy,"Georgetown University has acknowledged that the school has profited from the sale of slaves and has ""reconciled"" by naming two buildings after African Americans and offer preferred admission to any descendants of slaves who worked at the university.",Washington,D.C.,United States,Georgetown University,Educational institution,African Americans,"Community, Descendants","Memorial, Other",,,Slavery,Completed,Voluntary/private action,African Americans; apology; educational institution; slavery,"Macaraeg, S., & Kunichoff, Y. (2017, March 21). How Chicago became the first city to make reparations to victims of police violence. YES! Magazine.",https://www.yesmagazine.org/issue/science/2017/03/21/how-chicago-became-the-first-city-to-make-reparations-to-victims-of-police-violence,"Henry, C. P. (2007). Long overdue: The politics of racial reparations. NYU Press.",,USA-2019-01; USA-2019-04,,"""Georgetown addresses slavery legacy (2016)"". Reparations History, https://reparationshistory.org.",6Xrb3MBQoZ7ERajFQBAgqq
USA-2019-01,2019,2010–2019,Georgetown students fund descendant reparations,"""Students at Georgetown University voted to increase their tuition to benefit descendants of the 272 enslaved Africans that the Jesuits who ran the school sold nearly two centuries ago to secure its future."" In a nonbinding student-led referendum, ""the undergraduate student body voted to add a new fee of $27.20 per student per semester to their tuition bill, with the proceeds devoted to supporting education and health care programs in Louisiana and Maryland, where many of the 4,000 known living descendants of the 272 enslaved people now reside.""",Washington,D.C.,United States,Georgetown University,Educational institution,African Americans,Descendants,"Scholarship fund, Other fund",,,Slavery,Proposed,Voluntary/private action,African Americans; education/scholarship; educational institution; land return; legislation; monetary compensation; religious institution; slavery,"Hassan, A. (2019, April 12). Georgetown students agree to create reparations fund. The New York Times.",https://web.archive.org/web/20251111235518/https://www.nytimes.com/2019/04/12/us/georgetown-reparations.html,,,USA-2016-01; USA-2019-04,,"""Georgetown students fund descendant reparations (2019)"". Reparations History, https://reparationshistory.org.",JBSwxWGQJ6F7idyDcgzL1H
USA-2019-04,2019,2010–2019,Georgetown raises funds for descendants,"Georgetown University announced that it would raise about $400,000 a year to benefit descendants of the 272 enslaved people who were sold to aid the college 200 years ago, and the funds will be used to support community projects. While students would be involved in the initiative, they would not be required to pay extra fees; the money would be raised through voluntary donations from alumni, faculty, students, and philanthropists.",Washington,D.C.,United States,Georgetown University,Educational institution,African Americans,Descendants,Other fund,"$400,000.00",Yearly fund,Slavery,Ongoing,Institutional policy,African Americans; education/scholarship; educational institution; monetary compensation; private initiative; slavery,"Swarns, R. L. (2019, October 30). Is Georgetown’s $400,000-a-year plan to aid slave descendants enough? The New York Times.",https://web.archive.org/web/20250716061541/https://www.nytimes.com/2019/10/30/us/georgetown-slavery-reparations.html,,,USA-2016-01; USA-2019-01,,"""Georgetown raises funds for descendants (2019)"". Reparations History, https://reparationshistory.org.",5Vtpwi64vs21RvnJTMezkW
USA-2022-03,2022,2020–2025,Harvard pledges $100 million redress,"Harvard University published a report (Harvard & the Legacy of Slavery) detailing how the institution benefitted from the enslavement of Black people in the United States. The university has also pledged $100 million for a fund to continue researching its ties to slavery, and for programs of reconciliation and redress.",Cambridge,Massachusetts,United States,Harvard University,Educational institution,African Americans,"Community, Other",Other fund,"$10,000,000.00",,Slavery,In Progress,Voluntary/private action,African Americans; commission/study; educational institution; federal government; monetary compensation; slavery,"Chang, C. J., & Cho, E. (2022, April 27). Harvard pledges $100 million to redress ties to slavery. The Harvard Crimson.",https://www.thecrimson.com/article/2022/4/27/100-million-endowment-for-slavery-redress/,,,,,"""Harvard pledges $100 million redress (2022)"". Reparations History, https://reparationshistory.org.",X6VAtps4FuA5xhdF6EFjLr
USA-2021-07,2021,2020–2025,Jesuits pledge $100 million reparations,The Jesuit Conference of Priests pledged to raise $100 million for the descendants of enslaved people. This pledge is the largest monetary effort of the Roman Catholic Church to atone for its role in slavery. $15 million has already been deposited into a trust as of March 2021.,,,United States,Jesuit Conference of Priests,Religious institution,African Americans,Descendants,Other fund,"$100,000,000.00",,Slavery,Ongoing,Institutional policy,African Americans; monetary compensation; religious institution; slavery,"Swarns, R. L. (2021, March 15). Catholic order pledges $100 million to atone for slave labor and sales. The New York Times.",https://web.archive.org/web/20250405091514/https://www.nytimes.com/2021/03/15/us/jesuits-georgetown-reparations-slavery.html,,,USA-2019-03,,"""Jesuits pledge $100 million reparations (2021)"". Reparations History, https://reparationshistory.org.",JK4Ei8V88despimABw9UVq
USA-2005-01,2005,1990–2009,JP Morgan creates slavery scholarship,"Banking corporation JPMorgan Chase issues an apology for their historical ties to the slave trade. The corporation set up a $5 million scholarship fund for black students to attend college. The scholarship program, called Smart Start Louisiana, was likened to reparations by several commentators, including Rev. Jesse Jackson.",,Louisiana,United States,JPMorgan Chase,Private individual/group,African Americans,Descendants,"Apology, Scholarship fund","$5,000,000.00",,Slavery,Completed,Voluntary/private action,African Americans; apology; corporation; education/scholarship; educational institution; monetary compensation; slavery,"JPMorgan: Predecessors linked to slavery. (2005, January 21). NBC News.",https://www.nbcnews.com/id/wbna6851727,,,,,"""JP Morgan creates slavery scholarship (2005)"". Reparations History, https://reparationshistory.org.",7AtoHPVkGu5KyA6Lh744VJ
USA-2021-08,2021,2020–2025,Michigan church creates reparations fund,"The Justice League of Greater Lansing (Michigan), made up of members from local churches, establishes a reparations fund from church endowments. The funds are to be spent on scholarships, small business loans, and home ownership loans.",Lansing,Michigan,United States,Justice League of Greater Lansing,Community organization,African Americans,Individuals,"Scholarship fund, Other fund",,,Slavery,Ongoing,Voluntary/private action,economic development; education/scholarship; housing program; monetary compensation; private initiative; religious institution,"Medina, A. (2021, December 28). Two EL churches trying to provide faith-based reparations to Greater Lansing Black community. East Lansing Info.",https://eastlansinginfo.news/two-el-churches-trying-to-provide-faith-based-reparations-to-greater-lansing-black-community/,,,,,"""Michigan church creates reparations fund (2021)"". Reparations History, https://reparationshistory.org.",C9KWzTKo6tBV1ncv3ou6bJ
USA-2021-02,2021,2020–2025,Baltimore church funds racial justice,"Memorial Episcopal Church in Baltimore, Maryland, created a fund to spend $100,000 per year over the next five years, for community organizations to do ""justice-centered work"" to address historical racial inequalities. The church had been founded by slave owners in the 1860s.",Baltimore,Maryland,United States,Memorial Episcopal Church,Religious institution,African Americans,Community,Other fund,"$500,000.00",,"Slavery, Jim Crow / segregation",Ongoing,Institutional policy,African Americans; land return; memorial; monetary compensation; religious institution; slavery,"Pitts, J. M. (2021, January 29). Episcopal church established by Baltimore slave owners creates $500,000 reparations fund. Baltimore Sun.",https://www.baltimoresun.com/maryland/baltimore-city/bs-md-church-reparations-20210129-jmiroxmrarc37a54ykonanoc2y-story.html,,,,,"""Baltimore church funds racial justice (2021)"". Reparations History, https://reparationshistory.org.",DWG9ShNiBcCwtWgsJutVh8
USA-1863-01,1863,1700–1899,NYC riots: Black community relief,"Over four days In July mobs of white New Yorkers terrorized Black people by roaming the streets from City Hall to Gramercy Park to past 40th Street, setting fire to buildings and killing people. The overall death toll is estimated at between over 100 and over 1,000. Immediately after the riots, the white merchants of New York combined forces to raise money to care for the injured, repair the damaged property, and support the legal and employment needs of the community's Black people. The shopkeepers raised over $40,000, equivalent to $825,000 in 2021.",New York,New York,United States,Merchants' Committee for the Relief of the Colored People Suffering from the Late Riots in the City of New York,Community organization,African Americans,"Community, Individuals",Other fund,"$40,000.00",,Racial violence,Completed,Voluntary/private action,African Americans; court case; economic development; massacre/violence; monetary compensation,"Mitchell, E. (2021, February 18). The real story of the 'Draft Riots'. The New York Times.",https://web.archive.org/web/20250823200715/https://www.nytimes.com/2021/02/18/opinion/draft-riots-racism.html,"Committee of Merchants for the Relief of Colored People, Suffering from the Late Riots in the City of New York. (1863). Report of the Committee of Merchants for the Relief of Colored People, suffering from the late riots in the city of New York. G. A. Whitehorne.",https://catalog.hathitrust.org/Record/009588226,,,"""NYC riots: Black community relief (1863)"". Reparations History, https://reparationshistory.org.",GZD5Bfg35RYvGmjfZ4PB8w
FRA-2014-01,2014,2010–2019,France compensates Holocaust deportation victims,"France : More than 700 claims have been filed under an agreement between U.S. and France in which French officials have agreed to pay out $60 million for the deportations carried out by SNCF, France's railway system. In exchange, the U.S. government agreed to ask courts to dismiss any lawsuits against SNCF or the French government.",,,France,Ministry of Foreign Affairs of France,"Government, federal",Holocaust survivors,Individuals,Direct payment,"$60,000,000.00",,"Internment, Racial violence",Completed,Treaty,Holocaust survivors; court case; federal government; legislation; monetary compensation,"Shaver, K. (2016, September 15). U.S. begins paying out reparations from France to Holocaust survivors and their heirs. Washington Post.",https://web.archive.org/web/20230423154130/https://www.washingtonpost.com/local/trafficandcommuting/us-begins-paying-out-french-reparations-to-holocaust-survivors-and-their-heirs/2016/09/15/87b1de56-7abb-11e6-bd86-b7bbd53d2b5d_story.html,,,AUT-1990-01; DEU-1952-01; FRA-2016-01,,"""France compensates Holocaust deportation victims (2014)"". Reparations History, https://reparationshistory.org.",PamAUQb68vTT1CgA7eDhak
FRA-2016-01,2016,2010–2019,France pays U.S. Holocaust survivors,France : The State Department has paid or approved 90 claims for a total of $11 million in reparations by France to former WWII prisoners who were carried to Nazi Death Camps in French trains—the first French reparations paid to Holocaust survivors in the U.S.,,,France,Ministry of Foreign Affairs of France,"Government, federal",Holocaust survivors,Individuals,Direct payment,"$11,000,000.00",,"Internment, Racial violence",Completed,Treaty,Holocaust survivors; federal government; massacre/violence; monetary compensation,"Shaver, K. (2016, September 15). U.S. begins paying out reparations from France to Holocaust survivors and their heirs. Washington Post. ",https://web.archive.org/web/20230423154130/https://www.washingtonpost.com/local/trafficandcommuting/us-begins-paying-out-french-reparations-to-holocaust-survivors-and-their-heirs/2016/09/15/87b1de56-7abb-11e6-bd86-b7bbd53d2b5d_story.html,,,AUT-1990-01; DEU-1952-01; FRA-2014-01,,"""France pays U.S. Holocaust survivors (2016)"". Reparations History, https://reparationshistory.org.",M26BVS8rsSqiZxC8nzBZy
JAP-2015-01,2015,2010–2019,"Japan compensates Korean ""comfort women""","Japan : $8.3 million to provide old-age care to Korean ""Comfort Women"" survivors plus a new apology.",,,Japan,Ministry of Foreign Affairs of Japan,"Government, federal","Korean ""Comfort Women""",Individuals,Other fund,"$8,300,000.00",,Other,Completed,Treaty,Comfort Women; Korean victims; apology; monetary compensation,"Sang-Hun, C. (2015, December 28). Japan and South Korea settle dispute over wartime 'comfort women'. The New York Times.",https://web.archive.org/web/20241207095007/https://www.nytimes.com/2015/12/29/world/asia/comfort-women-south-korea-japan.html,,,,,"""Japan compensates Korean ""comfort women"" (2015)"". Reparations History, https://reparationshistory.org.",Asc3iLsC5sd9HzvsfduY7a
USA-2020-06,2020,2020–2025,Boston museum funds diversity initiative,"The Museum of Fine Arts in Boston reached an agreement with the Massachusetts Attorney General's Office to implement policies and procedures, and a $500,000 fund, to address diversity issues. The agreement follows an incident of racial discrimination towards black students visiting the museum in May 2019.",Boston,Massachusetts,United States,Museum of Fine Arts,Corporation,African Americans,Community,"Policy change, Other fund","$500,000.00",,Educational discrimination,Completed,Institutional policy,African Americans; educational institution; institutional discrimination; monetary compensation,"AG’s Office and Museum of Fine Arts reach historic agreement to support diversity and inclusivity (Press release). (2020, May 5). Museum of Fine Arts, Boston.",https://www.mfa.org/press-release/historic-agreement-to-support-diversity-and-inclusivity,,,,,"""Boston museum funds diversity initiative (2020)"". Reparations History, https://reparationshistory.org.",9U52D2W4523wzPnsjjEkea
AUT-1990-01,1990,1990–2009,Austria pays Holocaust survivors reparations,"The Austrian Parliament passed legislation to pay $25 million over five years to Jewish institutions for elderly and disabled Holocaust survivors in Israel, the United States, Austria, and other countries. This followed legislation providing $165 million in social security benefits to survivors born in Austria before 1930.",,,Austria,Parliament of Austria,"Government, federal",Holocaust survivors,Individuals,Direct payment,"$25,000,000.00",,"Internment, Racial violence",Completed,Court settlement,Holocaust survivors; monetary compensation,"Engel, R. (1990, February 13). Austria to pay $25 million more in support of Holocaust survivors. JTA Daily News Bulletin, 3.",https://www.jta.org/1990/02/13/archive/austria-to-pay-25-million-more-in-support-of-holocaust-survivors,,,DEU-1952-01; FRA-2014-01; FRA-2016-01,,"""Austria pays Holocaust survivors reparations (1990)"". Reparations History, https://reparationshistory.org.",PaWGDWkjTrgBL6EBPRChus
USA-2019-05,2019,2010–2019,Princeton seminary pledges $27 million,Princeton Theological Seminary announced a $27 million commitment for various initiatives to recognize how it benefited from black slavery. This is the largest monetary commitment by an educational institution.,Princeton,New Jersey,United States,Princeton Theological Seminary,Educational institution,African Americans,Community,Other fund,"$27,000,000.00",,Slavery,In Progress,Institutional policy,African Americans; education/scholarship; educational institution; monetary compensation; religious institution; slavery,"Branigin, A. (2019, September 24). WWJD: Princeton Theological Seminary announces $27 million reparations plan. The Root.",https://www.theroot.com/wwjd-princeton-theological-seminary-announces-27-mill-1839304752,,,USA-2019-08; USA-2021-12,,"""Princeton seminary pledges $27 million (2019)"". Reparations History, https://reparationshistory.org.",WxRzVDkxwAUYfSCVfRM1yR
